pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_60_r_t,243,407,24,20,13,13,11,0.9565217391304348,7.146651312475126,True,,0.375,0.5,246,378,32,25,16,16,16,0.957983193277311,7.235838126523624,True,,0.4375,0.5,282,457,25,20,18,18,17,0.9694656488549618,7.453975372411702,True,,0.375,0.4375
control_points_61_r_t,303,397,52,43,26,26,26,0.9536423841059603,9.843125945982893,True,,0.4375,0.5,296,388,42,38,23,23,23,0.9366197183098591,10.189670702519296,True,,0.5,0.5,345,469,44,30,18,18,18,0.96,10.327683796730396,True,,0.375,0.4375
control_points_62_r_t,286,407,49,37,24,24,24,0.9596774193548387,10.417829612309871,True,,0.5,0.6875,291,378,43,33,22,22,22,0.9230769230769231,10.18777987860502,True,,0.4375,0.5,328,457,51,40,24,24,24,0.9343065693430657,11.48346467706545,True,,0.4375,0.4375
control_points_63_r_t,404,402,210,202,168,168,167,0.9532710280373832,3.2556457850470633,True,,0.75,0.875,398,387,201,186,171,171,171,0.9271844660194175,3.2325852742199057,True,,0.875,0.9375,483,471,225,215,183,183,182,0.9364406779661016,3.517310306416249,True,,0.875,0.875
control_points_64_r_t,397,372,197,179,159,159,155,0.9230769230769231,4.099955707109941,True,,1.0,1.0,396,378,204,179,146,146,144,0.9675925925925926,5.179016303541899,True,,0.875,0.9375,461,415,210,192,170,170,169,0.9469026548672567,4.491987965687316,True,,0.9375,0.9375
control_points_65_r_t,291,403,74,67,53,53,53,0.9297297297297298,4.662660284260577,True,,0.5625,0.8125,294,392,73,60,47,47,47,0.9337016574585635,4.7566338119513265,True,,0.4375,0.6875,329,468,82,65,43,43,43,0.9560975609756097,4.5079748363346965,True,,0.375,0.625
control_points_66_r_t,243,365,58,48,35,35,35,0.9574468085106383,6.041801360310686,True,,0.3125,0.5,246,380,67,58,43,43,43,0.9787234042553191,4.819942720278203,True,,0.4375,0.6875,282,414,65,59,45,45,45,0.9591836734693877,4.794776652173527,True,,0.4375,0.75
control_points_67_r_t,540,403,157,69,60,60,59,0.9532163742690059,5.841205705371867,True,,0.625,0.625,509,389,127,60,57,57,57,0.9423076923076923,5.6750907180384855,True,,0.8125,0.6875,671,466,170,69,65,65,62,0.9438775510204082,5.705835503870525,True,,0.8125,0.6875
control_points_68_r_t,506,362,90,40,35,35,35,0.8878504672897196,6.293193483617571,True,,0.4375,0.5,466,376,96,35,32,32,31,0.8521739130434782,9.48787491911775,True,,0.3125,0.3125,638,423,105,41,41,41,36,0.975,6.657128719683189,True,,1.0,1.0
control_points_69_r_t,303,403,78,63,45,45,45,0.9454545454545454,8.210985688883282,True,,0.5625,0.6875,296,392,65,55,39,39,39,0.9141104294478528,7.532939659329966,True,,0.5625,0.6875,345,468,63,54,35,35,30,0.8982035928143712,7.381312978056882,True,,0.5,0.6875
control_points_70_r_t,286,365,74,62,44,44,44,0.916083916083916,7.148501695808151,True,,0.5,0.6875,291,380,70,62,47,47,47,0.9060402684563759,7.567677278537715,True,,0.625,0.75,328,414,78,71,45,45,45,0.9512195121951219,6.569994499151281,True,,0.5625,0.75
