method,pair_id,transform,transform_type,detected_original,detected_transformed,spatial_positive_pairs,detector_repeatability_original,detector_repeatability_symmetric,positive_descriptor_distance,nearest_spatial_negative_distance,descriptor_margin,ratio_matches,ratio_pass_rate,bidirectional_matches,bidirectional_pass_rate,ransac_inliers,ransac_inlier_rate,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,outer_border_original,outer_border_repeated,outer_border_repeatability
G7,20_r_t,gamma_135,gamma,663,640,576,0.8687782805429864,0.884113584036838,0.1578147942135628,0.999143839503328,0.8413290452897652,649,0.9788838612368024,593,0.9137134052388289,554,0.9342327150084317,61,0.953125,0.8068092996595567,14,9,0.6428571428571429
G7,20_r_t,darker_contrast,brightness_contrast,663,656,601,0.9064856711915535,0.9112964366944655,0.12352386625567312,0.9946155525285273,0.8710916862728542,614,0.9260935143288085,614,1.0,582,0.9478827361563518,61,0.953125,0.8155630541555992,14,13,0.9285714285714286
G7,20_r_t,gaussian_blur_12,gaussian_blur,663,636,591,0.8914027149321267,0.9099307159353349,0.1138075845987361,0.997317779286057,0.883510194687321,605,0.9125188536953243,603,0.996694214876033,583,0.966832504145937,61,0.953125,0.8172656045406688,14,9,0.6428571428571429
G7,20_r_t,local_contrast_clahe,clahe,663,726,528,0.7963800904977375,0.7602591792656588,0.26748667579765123,0.9968260364098982,0.7293393606122469,596,0.8989441930618401,596,1.0,477,0.8003355704697986,61,0.953125,0.8083999500291275,14,10,0.7142857142857143
G7,20_r_t,low_frequency_shading,low_frequency_shading,663,656,597,0.9004524886877828,0.9052312357846853,0.1314966534350186,0.9960722529908121,0.8645755995557936,613,0.9245852187028658,613,1.0,588,0.9592169657422512,61,0.953125,0.815223011720441,14,11,0.7857142857142857
G7,30_r_t,identity,identity,694,694,694,1.0,1.0,0.0,0.9989407686060375,0.9989407686060375,694,1.0,694,1.0,694,1.0,60,0.9375,0.8172380470741654,15,15,1.0
G7,30_r_t,gamma_075,gamma,694,689,622,0.8962536023054755,0.8994938539407086,0.12183337804780513,0.9971817650404007,0.8753483869925955,643,0.9265129682997119,643,1.0,605,0.9409020217729394,60,0.9375,0.8044097958943718,15,13,0.8666666666666667
G7,30_r_t,gamma_135,gamma,694,671,630,0.9077809798270894,0.9230769230769231,0.10884568560868502,1.1566369586520724,1.0477912730433874,654,0.9423631123919308,650,0.9938837920489296,618,0.9507692307692308,60,0.9375,0.8078708466722605,15,11,0.7333333333333333
G7,30_r_t,darker_contrast,brightness_contrast,694,686,636,0.9164265129682997,0.9217391304347826,0.09099676314764803,0.9991137453782484,0.9081169822306003,682,0.9827089337175793,657,0.9633431085043989,627,0.954337899543379,60,0.9375,0.816555289964673,15,12,0.8
G7,30_r_t,gaussian_blur_12,gaussian_blur,694,672,614,0.8847262247838616,0.8989751098096632,0.11927890543998841,0.9989135369221628,0.8796346314821744,684,0.9855907780979827,640,0.935672514619883,599,0.9359375,60,0.9375,0.8171391742246498,15,13,0.8666666666666667
G7,30_r_t,local_contrast_clahe,clahe,694,738,565,0.8141210374639769,0.7891061452513967,0.24161599544824752,0.9998338871297583,0.7582178916815108,628,0.9048991354466859,627,0.9984076433121019,527,0.8405103668261563,60,0.9375,0.8017960119502536,15,10,0.6666666666666666
G7,30_r_t,low_frequency_shading,low_frequency_shading,694,678,615,0.8861671469740634,0.8965014577259475,0.14338232076507273,0.9972683200022069,0.8538859992371342,639,0.920749279538905,639,1.0,596,0.9327073552425665,60,0.9375,0.8060655820938597,15,12,0.8
G7,39_r_t,identity,identity,340,340,340,1.0,1.0,0.0,1.1682598110507516,1.1682598110507516,340,1.0,340,1.0,340,1.0,39,0.609375,0.40915390035579563,0,0,0.0
G7,39_r_t,gamma_075,gamma,340,339,301,0.8852941176470588,0.8865979381443299,0.11360157798493027,1.1662672617506744,1.0526656837657442,317,0.9323529411764706,316,0.9968454258675079,288,0.9113924050632911,38,0.59375,0.4063136306155693,0,0,0.0
G7,39_r_t,gamma_135,gamma,340,311,270,0.7941176470588235,0.8294930875576036,0.12102214727136824,1.1674853603045146,1.0464632130331464,301,0.8852941176470588,298,0.9900332225913622,257,0.8624161073825504,36,0.5625,0.3954909559685071,0,0,0.0
G7,39_r_t,darker_contrast,brightness_contrast,340,333,293,0.861764705882353,0.8707280832095097,0.11798925666653459,1.169271074057439,1.0512818173909044,312,0.9176470588235294,312,1.0,281,0.9006410256410257,37,0.578125,0.39826792999114086,0,0,0.0
G7,39_r_t,gaussian_blur_12,gaussian_blur,340,334,315,0.9264705882352942,0.9347181008902077,0.06934237347117492,1.1665741683944824,1.0972317949233075,329,0.9676470588235294,327,0.993920972644377,304,0.9296636085626911,39,0.609375,0.4042998890817901,0,0,0.0
G7,39_r_t,local_contrast_clahe,clahe,340,376,275,0.8088235294117647,0.7681564245810056,0.245198548625816,1.171681966348128,0.9264834177223119,325,0.9558823529411765,324,0.9969230769230769,245,0.7561728395061729,38,0.59375,0.39728757198073844,0,0,0.0
G7,39_r_t,low_frequency_shading,low_frequency_shading,340,336,316,0.9294117647058824,0.9349112426035503,0.09166713406131426,1.1677277518224112,1.076060617761097,327,0.961764705882353,326,0.9969418960244648,310,0.950920245398773,39,0.609375,0.40915390035579563,0,0,0.0
G7,40_r_t,identity,identity,336,336,336,1.0,1.0,0.0,1.1589536496571131,1.1589536496571131,336,1.0,336,1.0,336,1.0,38,0.59375,0.41501573127429126,0,0,0.0
G7,40_r_t,gamma_075,gamma,336,331,282,0.8392857142857143,0.8455772113943029,0.15548953458878165,1.1611851248758058,1.0056955902870242,311,0.9255952380952381,308,0.9903536977491961,265,0.8603896103896104,38,0.59375,0.4072731133187586,0,0,0.0
G7,40_r_t,gamma_135,gamma,336,317,276,0.8214285714285714,0.8453292496171516,0.13640819430567216,1.16427598785663,1.027867793550958,308,0.9166666666666666,305,0.9902597402597403,266,0.8721311475409836,37,0.578125,0.406851476766118,0,0,0.0
G7,40_r_t,darker_contrast,brightness_contrast,336,344,290,0.8630952380952381,0.8529411764705882,0.13441405170436563,1.161913830658485,1.0274997789541194,319,0.9494047619047619,316,0.9905956112852664,279,0.8829113924050633,38,0.59375,0.40716896004801095,0,0,0.0
G7,40_r_t,gaussian_blur_12,gaussian_blur,336,334,291,0.8660714285714286,0.8686567164179104,0.12287718883341121,1.1629913781107086,1.0401141892772974,320,0.9523809523809523,315,0.984375,277,0.8793650793650793,38,0.59375,0.41171430702017603,0,0,0.0
G7,40_r_t,local_contrast_clahe,clahe,336,384,253,0.7529761904761905,0.7027777777777777,0.2828251964489933,1.1581175937482961,0.8752923972993029,317,0.9434523809523809,314,0.9905362776025236,232,0.7388535031847133,37,0.578125,0.4053944473022405,0,0,0.0
G7,40_r_t,low_frequency_shading,low_frequency_shading,336,341,293,0.8720238095238095,0.8655834564254062,0.13256690291363632,1.1611817470996453,1.028614844186009,318,0.9464285714285714,315,0.9905660377358491,281,0.8920634920634921,38,0.59375,0.40859674175525834,0,0,0.0
G7,50_r_t,identity,identity,331,331,331,1.0,1.0,0.0,1.1655672277208542,1.1655672277208542,331,1.0,331,1.0,331,1.0,39,0.609375,0.4120032123413923,0,0,0.0
