dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
FIMD,18_t.jpg,affine,rotate_plus10_translate,0.8755183454936749,0.9629766717637067,0.7430696050096339,0.9226226806640625
FIMD,18_t.jpg,affine,scale_095,0.8757078747729459,0.9639589334397289,0.7186234423676012,1.0
FIMD,18_t.jpg,affine,scale_105,0.8904888316842303,0.9823132780652986,0.7587209302325582,0.908447265625
FIMD,19_t.jpg,photometric,brightness_minus30,0.9873335772792524,0.9989103445577715,0.9522862566340827,1.0
FIMD,19_t.jpg,photometric,brightness_plus30,0.9834229390681004,0.9979052248312366,0.932301181342102,1.0
FIMD,19_t.jpg,photometric,contrast_070,0.8864347973258865,0.9640600478234946,0.7744359629264139,1.0
FIMD,19_t.jpg,photometric,contrast_130,0.9714317382027765,0.995242872773418,0.9246738506822321,1.0
FIMD,19_t.jpg,photometric,gaussian_blur,0.669116197877073,0.817650867504078,0.6502898550724638,1.0
FIMD,19_t.jpg,affine,rotate_minus10_translate,0.8630642540416976,0.9597345754017232,0.7467788297252206,0.9226226806640625
FIMD,19_t.jpg,affine,rotate_plus10_translate,0.8555604299188418,0.9511258934573005,0.7433459050606388,0.9226226806640625
FIMD,19_t.jpg,affine,scale_095,0.86519131220728,0.9565284946031901,0.7305483203098911,1.0
FIMD,19_t.jpg,affine,scale_105,0.856360690541371,0.9680473173526352,0.7508818769107333,0.908447265625
FIMD,20_r.jpg,photometric,brightness_minus30,0.9861167558077154,0.9979411954182571,0.9516095740008783,1.0
FIMD,20_r.jpg,photometric,brightness_plus30,0.9842169359421937,0.9972329095243992,0.9425970710734919,1.0
FIMD,20_r.jpg,photometric,contrast_070,0.8498650306748466,0.9544657229533954,0.7519264551873248,1.0
FIMD,20_r.jpg,photometric,contrast_130,0.9667793597130295,0.9951164384656197,0.8967134340631102,1.0
FIMD,20_r.jpg,photometric,gaussian_blur,0.6012933491879917,0.7398238115820163,0.585157715260017,1.0
FIMD,20_r.jpg,affine,rotate_minus10_translate,0.8406192500475859,0.9393995240585309,0.7407788223005615,0.9226226806640625
FIMD,20_r.jpg,affine,rotate_plus10_translate,0.8286500231899819,0.9402224409920723,0.7187055981813015,0.9226226806640625
FIMD,20_r.jpg,affine,scale_095,0.8560115304813343,0.9541684411775775,0.7317850637522769,1.0
FIMD,20_r.jpg,affine,scale_105,0.8548949919224555,0.9678391223716974,0.7583981497024975,0.908447265625
FIMD,22_t.jpg,photometric,brightness_minus30,0.9882898333244011,0.9993188526451223,0.9459783015338571,1.0
FIMD,22_t.jpg,photometric,brightness_plus30,0.9863090472377902,0.9987176083086744,0.9519377037305324,1.0
FIMD,22_t.jpg,photometric,contrast_070,0.897476595286775,0.9743783856172997,0.7566543816543816,1.0
FIMD,22_t.jpg,photometric,contrast_130,0.969076210658504,0.9940070830208301,0.9166464646464647,1.0
FIMD,22_t.jpg,photometric,gaussian_blur,0.7001064112795956,0.810181101551738,0.6080808080808081,1.0
FIMD,22_t.jpg,affine,rotate_minus10_translate,0.875077495350279,0.949612024593166,0.7371916842847075,0.9226226806640625
FIMD,22_t.jpg,affine,rotate_plus10_translate,0.8540332239754205,0.9485612478589991,0.7123884245835466,0.9226226806640625
FIMD,22_t.jpg,affine,scale_095,0.8707843085873012,0.9595122899354546,0.7196981097658298,1.0
FIMD,22_t.jpg,affine,scale_105,0.882606967810306,0.9764399249509811,0.7268931486050484,0.908447265625
FIMD,26_r.jpg,photometric,brightness_minus30,0.9842650574974382,0.996806855225634,0.9412682680587532,1.0
FIMD,26_r.jpg,photometric,brightness_plus30,0.9744745088172732,0.9973490994930149,0.9247517780892889,1.0
FIMD,26_r.jpg,photometric,contrast_070,0.8185542003249502,0.9275014998875861,0.7258373021969581,1.0
FIMD,26_r.jpg,photometric,contrast_130,0.9580655846306724,0.9919580026503844,0.8903618758511462,1.0
FIMD,26_r.jpg,photometric,gaussian_blur,0.6345432076162578,0.7882577233925898,0.6158331476352678,1.0
FIMD,26_r.jpg,affine,rotate_minus10_translate,0.8341113667329298,0.935678249815531,0.7427523148745196,0.9226226806640625
FIMD,26_r.jpg,affine,rotate_plus10_translate,0.8348774689506543,0.935289641317291,0.7464602750520186,0.9226226806640625
FIMD,26_r.jpg,affine,scale_095,0.850322811250363,0.9422617292550416,0.7430060426119138,1.0
FIMD,26_r.jpg,affine,scale_105,0.8576228094070644,0.9661342270533825,0.7467372026589767,0.908447265625
FIMD,27_r.jpg,photometric,brightness_minus30,0.9817844072307863,0.997621838192234,0.9363514783488758,1.0
FIMD,27_r.jpg,photometric,brightness_plus30,0.9802505751586884,0.9964783266576719,0.9439396292844568,1.0
FIMD,27_r.jpg,photometric,contrast_070,0.8525024397044473,0.9496844918222952,0.7512513904338154,1.0
FIMD,27_r.jpg,photometric,contrast_130,0.9567783137075261,0.992492351820801,0.8869596414984499,1.0
FIMD,27_r.jpg,photometric,gaussian_blur,0.5175035707284286,0.6735422647679025,0.5505762638249027,1.0
FIMD,27_r.jpg,affine,rotate_minus10_translate,0.7819449783098128,0.9148627749701256,0.7250249263266233,0.9226226806640625
