dataset,image,variant,mask_iou_to_baseline,skeleton_f1_to_baseline,junction_repeatability_to_baseline,baseline_area_fraction,variant_area_fraction,baseline_junction_count,variant_junction_count
FIMD,18_t.jpg,kernel_09,0.7854651322475212,0.9468174365967276,0.6987825021312872,0.061589558919270836,0.048624674479166664,480,391
FIMD,18_t.jpg,kernel_21,0.871339137943441,0.9604910417557648,0.7740166083916085,0.061589558919270836,0.07068379720052083,480,572
FIMD,19_t.jpg,threshold_015,0.47689668679173924,0.6820645473790484,0.5891844450445585,0.05986192491319445,0.12552388509114584,483,1058
FIMD,19_t.jpg,threshold_035,0.5812563724934859,0.8040590677443019,0.596640506966594,0.05986192491319445,0.034795125325520836,483,296
FIMD,19_t.jpg,kernel_09,0.804287562372944,0.94680099982419,0.7176511512895952,0.05986192491319445,0.056004842122395836,483,494
FIMD,19_t.jpg,kernel_21,0.8853749968551086,0.9654962712131974,0.8121634671386111,0.05986192491319445,0.06718953450520833,483,551
FIMD,20_r.jpg,threshold_015,0.4204620598446024,0.6241676335885791,0.549229230163173,0.10349019368489583,0.24613444010416666,828,2097
FIMD,20_r.jpg,threshold_035,0.5880801428548025,0.7976451591844548,0.582354789200993,0.10349019368489583,0.060860527886284724,828,469
FIMD,20_r.jpg,kernel_09,0.6901321956107178,0.9117915303309355,0.7107692622615246,0.10349019368489583,0.07382032606336805,828,708
FIMD,20_r.jpg,kernel_21,0.8461602705975696,0.9501162504716096,0.7882515324970567,0.10349019368489583,0.12137349446614583,828,952
FIMD,22_t.jpg,threshold_015,0.5153059099554359,0.7135692489358886,0.5534493874919406,0.0629306369357639,0.12212287055121528,495,1034
FIMD,22_t.jpg,threshold_035,0.6107279487041327,0.8039078241066354,0.5925212388788548,0.0629306369357639,0.03843349880642361,495,302
FIMD,22_t.jpg,kernel_09,0.8123514805222546,0.9562599949746265,0.7368789940218512,0.0629306369357639,0.05215115017361111,495,441
FIMD,22_t.jpg,kernel_21,0.912543124071416,0.979614945242278,0.8279428904428905,0.0629306369357639,0.06583489312065972,495,520
FIMD,26_r.jpg,threshold_015,0.47664042569498427,0.6737394252317153,0.5970137770719188,0.0738067626953125,0.15484788682725695,566,1286
FIMD,26_r.jpg,threshold_035,0.5862219465692693,0.7869780839973316,0.6299891583681336,0.0738067626953125,0.043267144097222224,566,352
FIMD,26_r.jpg,kernel_09,0.6268088521958491,0.8730306114054567,0.6642021000452163,0.0738067626953125,0.04646131727430555,566,422
FIMD,26_r.jpg,kernel_21,0.8706688976859976,0.960623774603555,0.8093303326510026,0.0738067626953125,0.0816192626953125,566,599
FIMD,27_r.jpg,threshold_015,0.4413108340658388,0.6529131004053614,0.5528325249095041,0.12086995442708333,0.2738884819878472,1044,2173
FIMD,27_r.jpg,threshold_035,0.5288251136172362,0.7373134369736192,0.5961619281766795,0.12086995442708333,0.0639190673828125,1044,547
FIMD,27_r.jpg,kernel_09,0.6611920456433834,0.8929726756999001,0.706813978068437,0.12086995442708333,0.08250935872395833,1044,841
FIMD,27_r.jpg,kernel_21,0.8331724247497769,0.9468037830772092,0.7782417247371407,0.12086995442708333,0.13344828287760416,1044,1087
FIMD,35_r.jpg,threshold_015,0.45184571154137143,0.6532906107798312,0.5442589378320597,0.1164432101779514,0.2577056884765625,952,1985
FIMD,35_r.jpg,threshold_035,0.5385477788616939,0.7503048923382988,0.6044327731092437,0.1164432101779514,0.0627102322048611,952,525
FIMD,35_r.jpg,kernel_09,0.59328,0.8558641415177832,0.668704481792717,0.1164432101779514,0.06926981608072917,952,675
FIMD,35_r.jpg,kernel_21,0.7735305049048868,0.917437648829709,0.7442226890756303,0.1164432101779514,0.1505347357855903,952,1120
